title,start,end,location,url,description,uid,category,series_id,label,weak_label,predicted_label,confidence,needs_review,label_source,prediction_confidence
Ribbon Cutting - White Cap Street Cafe,2025-10-01T14:00:00+00:00,2025-10-01T15:00:00+00:00,"White Cap Street Cafe 5601 Ayllon Ave Pensacola, FL",https://business.perdidochamber.com/events/details/ribbon-cutting-white-cap-street-cafe-39458,"Join the Perdido Key Area Chamber of Commerce as we celebrate the Ribbon Cutting Celebration for White Cap Street Cafe! Join in the celebration on October 1st at 9:00AM located at 5601 Ayllon Ave! 



White Cap Street Cafe is an all-day breakfast eatery that also features lunch after 10:30AM. Fresh pastries, green chile breakfast burritos, breakfast sammies, and homemade conecuh and sausage gravy over biscuits. A little nook tucked back away from traffic under Cyprus trees on the corner of Ayllon Street.",e.2644.39458,,e.2644.39458,1.0,1.0,,,,series_propagation,
Perdido Rotary,2025-09-10T17:00:00+00:00,2025-09-10T18:00:00+00:00,"Perdido Key Chamber/Fire Station, 15500 Perdido Key Drive",https://business.perdidochamber.com/events/details/perdido-rotary-39077,"Rotary Club meeting with Speaker Tom Pace, Sail Pensacola regarding sailing technology development in Pensacola",e.2644.39077,,,0.0,,0.0,0.478761115699208,True,manual_or_previous,
"Florida SBDC at UWF Presents ""Starting a Business""",2025-09-10T14:00:00+00:00,2025-09-10T17:00:00+00:00,"Greater Pensacola Chamber of Commerce 418 W Garden St, CO:LAB Bldg, 4th flr Pensacola, FL 32501",https://business.perdidochamber.com/events/details/florida-sbdc-at-uwf-presents-starting-a-business-09-10-2025-39401,"So you've got that business idea. You may not know the first steps, or you may want some guidance on if you're taking the right steps. Let's work with the ideas that have been forming in your head and see if we can make them into a tangible, feasible small business. In this three-hour workshop, we'll take a deep dive into the following aspects of setting up a successful business:

 


	Is there a need for your product or service?
	Can you make money at it?
	Are you the right person to bring this to market?
	Is this business compatible with your personal goals?
	What rules, laws, and licensing apply to your business?
	What are funding options for your business?
	What about marketing strategies, legal structures, and taxation?
	What are your available resources?


Also, after attending this workshop you'll have access to a Florida SBDC Business Consultant to assist you at no cost as you create your business plan and move toward your goals!

 

*UWF students and employees may attend SBDC workshops at no cost. Contact us at 850-474-2528 to register with your Nautilus Card number.

 

Please note: No refund credit without 48-hour notice. Contact us at sbdc@uwf.edu or 850-474-2528 with questions.

 

Brought to you in part by Wells Fargo.",e.2644.39401,,,0.0,,0.0,0.7670359269084445,False,manual_or_previous,
25/26 Leadership Perdido Key - Class 2 Local Government,2025-09-10T14:00:00+00:00,2025-09-10T21:00:00+00:00,"Session Schedule Regular sessions are scheduled from 9:00 a.m. to 4:00 p.m. They will be held in different locations based on the class session topic. 2025 Opening Reception - August 21 Local Government - September 10 Tourism - October 8 Environment - November 12 Military - December 10 2026 Education & Healthcare January 14 Graduation/Annual Dinner January 20 Class project - TBD While we try to keep sessions consistent, sessions are subject to change depending on unforeseen planning conflicts.",https://business.perdidochamber.com/events/details/25-26-leadership-perdido-key-class-2-local-government-39000,"Leaders are not born; they are developed. We must ensure the success of our community by cultivating talented individuals who will emerge and lead us into the future. There is no better training ground for our future leaders than Leadership Perdido Key (LPK). The keys to the future of Northwest Florida are knowledgeable and skilled leaders who have an awareness and understanding of all facets of our community, including local government, business, tourism/hospitality, environment, military, and more.



Leadership Perdido Key is a comprehensive leadership development program designed to empower individuals with the skills, knowledge, and networking needed to become effective leaders in their communities. 

Participants in Leadership Perdido Key will come from diverse backgrounds and industries, reflecting the community's rich tapestry of talent and expertise. Through a series of workshops, seminars, and experiential learning activities, participants have the opportunity to deepen their understanding of Perdido Key area and hone their leadership capabilities.

The program will feature guest speakers who are prominent leaders in various fields, providing valuable insights.  Additionally, participants may engage in hands-on projects and community initiatives aimed at making a positive impact in Perdido Key and surrounding areas.

Overall, Leadership Perdido Key aims to cultivate a new generation of leaders who are equipped to address the challenges and opportunities facing their communities, fostering a culture of collaboration, innovation, and service.



Click here to download information & application packet

Application deadline is August 1, 2025



Sponsorship information

 
The Perdido Key Area Chamber of Commerce extends its congratulations to the following individuals selected for the 2025-26 Leadership Perdido Key class:


	Alicia Popper, Pensacola Habitat for Humanity
	Amanda Long, Pointe South
	Cheyenne Sherbundy, Alexander Hines Construction, LLC
	Cinnamon Swift, Pirates of Lost Treasure & Secret Santa
	Clay Hines, Alexander Hines Construction, LLC
	Clayton Wissmann, CoastEase
	Juli Meyer, Flora-Bama
	Kaila Parker, Reliance Mortgage
	Karla Boyd, Holiday Harbor Marina
	Katy Novak, Perdido Realty Vacations
	Kendall Loper
	Lauren Brown, Perdido Key Area Chamber of Commerce
	Ronald Rivera, Escambia County Sheriff's Office
	Sadie O'Gara, Lost Key Group- Levin Rinke Realty
	Steve Stroberger, Escambia County D1 County Commissioner
	Tony Tampary, Escambia County Sheriff's Office",e.2644.39000,,,0.0,,0.0,0.5499091259097908,True,manual_or_previous,
Team Trivia at Perdido Key Sports Bar,2025-09-10T00:00:00+00:00,2025-09-10T02:00:00+00:00,"Perdido Key Sports Bar & Restaurant 13583 Perdido Key Drive, Pensacola 32507",https://business.perdidochamber.com/events/details/team-trivia-at-perdido-key-sports-bar-09-09-2025-39118,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Tuesday at Perdido Key Sports Bar! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!",e.2644.39118,,,1.0,,1.0,0.5085939251248687,True,manual_or_previous,
Music Bingo at Lillian's Pizza,2025-09-09T00:00:00+00:00,2025-09-09T02:00:00+00:00,"Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",https://business.perdidochamber.com/events/details/music-bingo-at-lillian-s-pizza-09-08-2025-39360,"Kick off your weekend early with Music Bingo by Team Trivia every Monday at Lillian's Pizza! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",e.2644.39360,,,1.0,,1.0,0.5252622520388504,True,manual_or_previous,
Arts & Crafts On The Dock,2025-09-06T14:00:00+00:00,2025-09-06T19:00:00+00:00,"Pensacola, FL",https://business.perdidochamber.com/events/details/arts-crafts-on-the-dock-39400,"Join Us On The Dock! Stop by Bill Dickson Park on September 6, 2025, from 9a-2p, to support local arts & craft vendors and to enjoy a nice Saturday afternoon on the dock! Admission for patrons is FREE! We hope to see you there!",e.2644.39400,,,1.0,,1.0,0.6215149447258692,False,manual_or_previous,
Music Bingo at Perdido Key Sports Bar,2025-09-05T00:00:00+00:00,2025-09-05T02:00:00+00:00,Perdido Key Sports Bar & Restaurant,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-09-04-2025-39338,"Kick off your weekend early with Music Bingo by Team Trivia every Thursday at Perdido Key Sports Bar! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",e.2644.39338,,,1.0,,1.0,0.5152283947365411,True,manual_or_previous,
Throwback Family Game Night,2025-09-04T23:00:00+00:00,2025-09-05T01:00:00+00:00,1350 S. Blue Angel Parkway,https://business.perdidochamber.com/events/details/throwback-family-game-night-39413,"?? Grab your crew and travel back in time with us at Green Line Arms for our first Retro Game Night. A family-friendly event filled with old-school gaming, pixelated memories, and community fun! ?? One lane will be open for our Virtual Shooting Range, while the other lanes will host: Classic Nintendo 64 games Your favorite PlayStation throwbacks Modern fun on the Xbox Our new First Thursday tradition is a casual way to hang out, unwind, and get the whole family out of the house. ?? Time: 6:00 8:00 PM ?? Where:1350 S. Blue Angel Parkway ?? Cost: Free to attend ?? Snacks + drinks available for purchase",e.2644.39413,,,0.0,,0.0,0.6039196586372139,False,manual_or_previous,
PKACC Executive Committee Meeting,2025-09-04T13:00:00+00:00,2025-09-04T14:00:00+00:00,"The Perdido Key Area Chamber of Commerce Conference Room. 15500 Perdido Key Drive Pensacola, FL 32507",https://business.perdidochamber.com/events/details/pkacc-finance-committee-meeting-09-04-2025-11035,"The Executive committee meets monthly to discuss the financials and any important topics of consideration for the Chamber of Commerce. 





This meeting is not open to the public. If you you would like to bring any topic of concern to the Chamber Board of Directors, it must be submitted in writing for the Executive Committee to review before the monthly Board Meetings.",e.2644.11035,,,0.0,,0.0,0.5330886852387237,True,manual_or_previous,
