title,start,end,location,url,description,uid,category,label
Music Bingo at Lillian's Pizza,2025-09-02T00:00:00+00:00,2025-09-02T02:00:00+00:00,"Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",https://business.perdidochamber.com/events/details/music-bingo-at-lillian-s-pizza-09-01-2025-39359,"Kick off your weekend early with Music Bingo by Team Trivia every Monday at Lillian's Pizza! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",e.2644.39359,,1
Post Labor Day Beach Clean Up,2025-09-02T11:00:00+00:00,2025-09-02T13:00:00+00:00,Panhandle Salt Surf Fishing 13595 Perdido Key Dr,https://business.perdidochamber.com/events/details/post-labor-day-beach-clean-up-39410,"Panhandle Salt, together with the Gulf Coast Land-Based Fishing Guide Association, has organized a community beach cleanup for the morning of Tuesday, September 2nd (following Labor Day weekend). Event Details Service Area: Johnson Beach down to The Crab Trap Meeting Location: 13595 Perdido Key Dr. Time: 6:00 a.m.   8:00 a.m. Trash Disposal: All collected trash will be disposed of at the Panhandle Salt shop dumpster. All are welcome to attend.",e.2644.39410,,1
Team Trivia at Perdido Key Sports Bar,2025-09-03T00:00:00+00:00,2025-09-03T02:00:00+00:00,"Perdido Key Sports Bar & Restaurant 13583 Perdido Key Drive, Pensacola 32507",https://business.perdidochamber.com/events/details/team-trivia-at-perdido-key-sports-bar-09-02-2025-39117,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Tuesday at Perdido Key Sports Bar! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!",e.2644.39117,,1
"Florida SBDC at UWF Presents ""Learn AI with Jenni Arnold – Create Smarter Workflows""",2025-09-03T15:00:00+00:00,2025-09-03T16:00:00+00:00,"Please note, this is a virtual event. We'll see you online http://tinyurl.com/ai-arnold",https://business.perdidochamber.com/events/details/florida-sbdc-at-uwf-presents-learn-ai-with-jenni-arnold-create-smarter-workflows-39082,"Discover how to transform your most time-consuming tasks into efficient, automated systems in this hands-on workshop with ""Learn AI with Jenni Arnold."" Attendees will learn how to streamline content creation, eliminate repetitive workflows, and implement AI tools that enhance productivity and focus. This session is designed to equip business owners and teams with hands-on exercises and practical strategies to boost efficiency using AI.



Register Here: http://tinyurl.com/ai-arnold",e.2644.39082,,0
Team Trivia at Lillian's Pizza,2025-09-04T00:00:00+00:00,2025-09-04T02:00:00+00:00,"Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-09-03-2025-39381,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Wednesday at Lillian's Pizza! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!",e.2644.39381,,1
Flora-Bama 11th Annual Bulls On The Beach,2025-09-04,2025-09-07,"Flora-Bama Lounge Package & Oyster Bar 17401 Perdido Key Dr. Perdido Key, FL. 32507",https://business.perdidochamber.com/events/details/flora-bama-11th-annual-bulls-on-the-beach-38845,"Get your tickets early because Bulls On The Beach is one of Flora-Bama's most anticipated events of the year! Bring the family out to experience the ultimate adrenaline rush with three nights of live rodeo action featuring Professional Bull Riders from all around the country! A portion of the proceeds from this event will go to St. Jude Children's Research Hospital.

Join us Thursday for Kid's Night! Kids 12 and under can participate in a Coloring Contest Bike Giveaway for both a lucky little boy and girl (scroll down for more info), followed by Professional Bull Riding to round out the night. Friday and Saturday night will feature the Professional Bull Riders in the adult Bull Riding Competition. We look forward to seeing you there!",e.2644.38845,,0
PKACC Executive Committee Meeting,2025-09-04T13:00:00+00:00,2025-09-04T14:00:00+00:00,"The Perdido Key Area Chamber of Commerce Conference Room. 15500 Perdido Key Drive Pensacola, FL 32507",https://business.perdidochamber.com/events/details/pkacc-finance-committee-meeting-09-04-2025-11035,"The Executive committee meets monthly to discuss the financials and any important topics of consideration for the Chamber of Commerce. 





This meeting is not open to the public. If you you would like to bring any topic of concern to the Chamber Board of Directors, it must be submitted in writing for the Executive Committee to review before the monthly Board Meetings.",e.2644.11035,,0
Throwback Family Game Night,2025-09-04T23:00:00+00:00,2025-09-05T01:00:00+00:00,1350 S. Blue Angel Parkway,https://business.perdidochamber.com/events/details/throwback-family-game-night-39413,"?? Grab your crew and travel back in time with us at Green Line Arms for our first Retro Game Night. A family-friendly event filled with old-school gaming, pixelated memories, and community fun! ?? One lane will be open for our Virtual Shooting Range, while the other lanes will host: Classic Nintendo 64 games Your favorite PlayStation throwbacks Modern fun on the Xbox Our new First Thursday tradition is a casual way to hang out, unwind, and get the whole family out of the house. ?? Time: 6:00 8:00 PM ?? Where:1350 S. Blue Angel Parkway ?? Cost: Free to attend ?? Snacks + drinks available for purchase",e.2644.39413,,1
Music Bingo at Perdido Key Sports Bar,2025-09-05T00:00:00+00:00,2025-09-05T02:00:00+00:00,Perdido Key Sports Bar & Restaurant,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-09-04-2025-39338,"Kick off your weekend early with Music Bingo by Team Trivia every Thursday at Perdido Key Sports Bar! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",e.2644.39338,,1
Arts & Crafts On The Dock,2025-09-06T14:00:00+00:00,2025-09-06T19:00:00+00:00,"Pensacola, FL",https://business.perdidochamber.com/events/details/arts-crafts-on-the-dock-39400,"Join Us On The Dock! Stop by Bill Dickson Park on September 6, 2025, from 9a-2p, to support local arts & craft vendors and to enjoy a nice Saturday afternoon on the dock! Admission for patrons is FREE! We hope to see you there!",e.2644.39400,,1
