title,description,location,start,end,url,uid,category,last_modified,created,source_ics,source_page,is_community_event,confidence,needs_review
Ribbon Cutting - White Cap Street Cafe,"Join the Perdido Key Area Chamber of Commerce as we celebrate the Ribbon Cutting Celebration for White Cap Street Cafe! Join in the celebration on October 1st at 9:00AM located at 5601 Ayllon Ave! 



White Cap Street Cafe is an all-day breakfast eatery that also features lunch after 10:30AM. Fresh pastries, green chile breakfast burritos, breakfast sammies, and homemade conecuh and sausage gravy over biscuits. A little nook tucked back away from traffic under Cyprus trees on the corner of Ayllon Street.","White Cap Street Cafe 5601 Ayllon Ave Pensacola, FL",2025-10-01T14:00:00+00:00,2025-10-01T15:00:00+00:00,https://business.perdidochamber.com/events/details/ribbon-cutting-white-cap-street-cafe-39458,e.2644.39458,,,,https://business.perdidochamber.com/events/ical/ribbon-cutting-white-cap-street-cafe-39458.ics,https://business.perdidochamber.com/events/details/ribbon-cutting-white-cap-street-cafe-39458?calendarMonth=2025-10-01,1.0,0.8725161604535839,False
Team Trivia at Lillian's Pizza,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Wednesday at Lillian's Pizza! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!","Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",2025-10-02T00:00:00+00:00,2025-10-02T02:00:00+00:00,https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-01-2025-39385,e.2644.39385,,,,https://business.perdidochamber.com/events/ical/team-trivia-at-lillian-s-pizza-10-01-2025-39385.ics,https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-01-2025-39385?calendarMonth=2025-10-01,1.0,0.9850716303791992,False
Trick or Dink Open Play,"Get ready for a spooktacular time at Trick or Dink Open Play at Pickleball at OWA! Come celebrate the season with us every Thursday in October from 1:00 to 5:00 PM. Non-members play for $7, and members play free! Grab your BONES (paddles) and bring your ghostly crew for an afternoon of friendly competition. It's the perfect way to enjoy the season!



Check out all the details and register here: https://visitowa.com/entertainment/.",Pickleball at OWA,2025-10-02T18:00:00+00:00,2025-10-02T22:00:00+00:00,https://business.perdidochamber.com/events/details/trick-or-dink-open-play-39466,e.2644.39466,,,,https://business.perdidochamber.com/events/ical/trick-or-dink-open-play-39466.ics,https://business.perdidochamber.com/events/details/trick-or-dink-open-play-39466?calendarMonth=2025-10-01,1.0,0.978826472293303,False
Throwback Family Game Night,"?? Grab your crew and travel back in time with us at Green Line Arms for our first Retro Game Night. A family-friendly event filled with old-school gaming, pixelated memories, and community fun! ?? One lane will be open for our Virtual Shooting Range, while the other lanes will host: Classic Nintendo 64 games Your favorite PlayStation throwbacks Modern fun on the Xbox Our new First Thursday tradition is a casual way to hang out, unwind, and get the whole family out of the house. ?? Time: 6:00 8:00 PM ?? Where:1350 S. Blue Angel Parkway ?? Cost: Free to attend ?? Snacks + drinks available for purchase",1350 S. Blue Angel Parkway,2025-10-02T23:00:00+00:00,2025-10-03T01:00:00+00:00,https://business.perdidochamber.com/events/details/throwback-family-game-night-10-02-2025-39414,e.2644.39414,,,,https://business.perdidochamber.com/events/ical/throwback-family-game-night-10-02-2025-39414.ics,https://business.perdidochamber.com/events/details/throwback-family-game-night-10-02-2025-39414?calendarMonth=2025-10-01,1.0,0.9653595186077674,False
Music Bingo at Perdido Key Sports Bar,"Kick off your weekend early with Music Bingo by Team Trivia every Thursday at Perdido Key Sports Bar! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",Perdido Key Sports Bar & Restaurant,2025-10-03T00:00:00+00:00,2025-10-03T02:00:00+00:00,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-10-02-2025-39342,e.2644.39342,,,,https://business.perdidochamber.com/events/ical/music-bingo-at-perdido-key-sports-bar-10-02-2025-39342.ics,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-10-02-2025-39342?calendarMonth=2025-10-01,1.0,0.9788971657339492,False
Holes Fore Hope,"Holes Fore Hope is a four person scramble where each player has a chance to advance their team to the winners' circle. Mulligans are available for purchase at the beginning of the tournament, and contests for other prizes are set throughout the course. Competitions include longest drive, the closest putt, and don't forget our famous ball drop!

The tournament also includes a 50/50 raffle, basket raffles and more, in which all participants and guests are welcome to participate. All proceeds from this tournament go to helping support the programs and services of The Centre For Excellence of Pensacola. 



As a non-profit organization, The Centre for Excellence of Pensacola relies on monthly donors, government and private grants, as well as our annual fundraisers for the resources we need to impact lives in our community. Holes Fore Hope is the Centre's Annual Charity Golf Tournament that helps support the Centre's programs and services throughout the entirety of the following year, including: A.W.A.R.E. Initiative, Community Table, Hand Up Practical Skills Classes, andJamie's Mom's House.","Osceola Golf course 300 Tonawanda Dr, Pensacola, FL 32506",2025-10-03T13:00:00+00:00,2025-10-03T18:00:00+00:00,https://business.perdidochamber.com/events/details/holes-fore-hope-10-03-2025-39090,e.2644.39090,,,,https://business.perdidochamber.com/events/ical/holes-fore-hope-10-03-2025-39090.ics,https://business.perdidochamber.com/events/details/holes-fore-hope-10-03-2025-39090?calendarMonth=2025-10-01,1.0,0.866885599644514,False
Smash Bros & Mario Kart Tournaments,"Gamers, get ready to compete! Every Sunday, Arcade at OWA hosts action-packed tournaments featuring Super Smash Bros at 6 pm and Mario Kart at 7:15 pm. For just $12, you can join the fun and test your skills.

Whether you're smashing your way to victory or racing to the finish line, these tournaments are the perfect way to challenge friends, meet fellow gamers, and level up your weekend. Grab your controller and join us for the ultimate Sunday showdown!",Arcade at OWA,2025-10-05,2025-10-06,https://business.perdidochamber.com/events/details/smash-bros-mario-kart-tournaments-10-05-2025-38451,e.2644.38451,,,,https://business.perdidochamber.com/events/ical/smash-bros-mario-kart-tournaments-10-05-2025-38451.ics,https://business.perdidochamber.com/events/details/smash-bros-mario-kart-tournaments-10-05-2025-38451?calendarMonth=2025-10-01,1.0,0.9970558181211278,False
Luna's Oktoberfest,"Join us for our 9th Oktoberfest on Sunday, October 5th from 1:00 to 5:00 p.m. Enjoy great German food, modern polka music by The Brats, Stein hoisting, games, and tons of Oktoberfest-style beers and german wines. Tickets are $15 per person. It will include your 1st beer or wine, a glass, a Luna's koozie, and entertainment. Ages 21 and up need to purchase an admission ticket. Beer, wine, and food tickets will be available for purchase separately. We are also partnering with the Makos Arts, Academics, Athletic Club (MAAAC).","25689 Canal Rd Suite B, Orange Beach, AL 36561",2025-10-05T18:00:00+00:00,2025-10-05T22:00:00+00:00,https://business.perdidochamber.com/events/details/luna-s-oktoberfest-39415,e.2644.39415,,,,https://business.perdidochamber.com/events/ical/luna-s-oktoberfest-39415.ics,https://business.perdidochamber.com/events/details/luna-s-oktoberfest-39415?calendarMonth=2025-10-01,1.0,0.9898662505385357,False
"Perdido Key Restaurant Week ""Eat Like a Local""","It's time to celebrate our local dining scene! Restaurant Week is your chance to get out, support the incredible restaurants in our community, and maybe even discover a new favorite. All week long, participating restaurants will be offering specials and unique dishes just for you. Grab your friends, make a reservation, and enjoy the flavors our local chefs have to offer   let's make this a week full of delicious memories!



Participating Restaurant Specials!",Different local Perdido area restaurants! Check back as we continue to add more restaurants to the list!,2025-10-06,2025-10-13,https://business.perdidochamber.com/events/details/perdido-key-restaurant-week-eat-like-a-local-39463,e.2644.39463,,,,https://business.perdidochamber.com/events/ical/perdido-key-restaurant-week-eat-like-a-local-39463.ics,https://business.perdidochamber.com/events/details/perdido-key-restaurant-week-eat-like-a-local-39463?calendarMonth=2025-10-01,1.0,0.9175481296726107,False
Music Bingo at Lillian's Pizza,"Kick off your weekend early with Music Bingo by Team Trivia every Monday at Lillian's Pizza! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!","Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",2025-10-07T00:00:00+00:00,2025-10-07T02:00:00+00:00,https://business.perdidochamber.com/events/details/music-bingo-at-lillian-s-pizza-10-06-2025-39364,e.2644.39364,,,,https://business.perdidochamber.com/events/ical/music-bingo-at-lillian-s-pizza-10-06-2025-39364.ics,https://business.perdidochamber.com/events/details/music-bingo-at-lillian-s-pizza-10-06-2025-39364?calendarMonth=2025-10-01,1.0,0.978881748534253,False
